id,title,isPaid,price,numSubscribers,numReviews,numPublishedLectures,instructionalLevel
215,Node Package Manager Course: Build and Publish NPM Modules,TRUE,30,7196,8,38,All Levels
216,WordPress Look and Feel with Themes,TRUE,25,2371,10,12,Beginner Level
217,PHP with Laravel for beginners - Become a Master in Laravel,TRUE,150,8496,1838,308,All Levels
218,JavaScript 2017: Become Top Rated Web Developer,TRUE,115,1346,330,32,All Levels
219,The Complete Web Developer Bootcamp - Beginner to Expert,TRUE,190,14103,1548,197,All Levels
220,Full-Stack Web Apps with Meteor and React,TRUE,85,3295,531,162,All Levels
221,Angular 4: From Theory to Practice & FREE E-Book,TRUE,200,4375,622,129,Intermediate Level
222,The Complete Sass & SCSS Course: From Beginner to Advanced,TRUE,195,12021,660,41,All Levels
223,Become a Certified Web Developer,TRUE,100,26673,1090,185,All Levels
224,Become a Web Developer from Scratch,TRUE,120,69186,2408,197,All Levels
225,Ultimate Angular 4 (previously Angular 2) with Bootstrap 4,TRUE,50,11384,1846,80,All Levels
226,The Ultimate Beginner's Guide to Django,TRUE,200,2390,497,82,Beginner Level
227,React JS - Mastering Redux,TRUE,100,7059,116,58,All Levels
228,Professional Ruby on Rails Developer with Rails 5,TRUE,200,3179,214,174,All Levels
229,"Ruby on Rails 5 - BDD, RSpec and Capybara",TRUE,200,1870,193,145,All Levels
230,Back to School Web Development and Programming Bundle,TRUE,200,18170,117,779,Beginner Level
231,Complete ASP NET MVC Web Development - Newbie to Ninja!,TRUE,195,6073,627,66,All Levels
232,The Complete DevOps Engineer Course 2.0 - Java & Kubernetes,TRUE,195,5335,105,117,All Levels
233,All about NodeJS,TRUE,50,8755,931,133,All Levels
234,How To Create A Wordpress Website 2016 | NEW Divi Theme 3.0!,TRUE,40,4144,383,43,Beginner Level
235,The Complete jQuery Course - From Beginner to Professional!,TRUE,200,6420,134,188,All Levels
236,Build a complete Fiverr clone with Node + Algolia + Paypal,TRUE,30,1741,26,87,All Levels
237,The Ultimate Web Development Course,TRUE,50,9881,329,136,All Levels
238,React From The Ground Up,TRUE,150,3252,401,62,All Levels
239,Javascript for Beginners Learn by Doing Practical Exercises,TRUE,100,5089,685,29,All Levels
240,8 Beautiful Ruby on Rails Apps in 30 Days & TDD - Immersive ,TRUE,100,5962,466,132,All Levels
241,Wordpress Website Mastery 2017,FALSE,0,5181,64,22,Beginner Level
242,How To Make an eCommerce Website With Wordpress 2017,FALSE,0,3493,43,26,Beginner Level
243,Mastering ASP.NET MVC 5 From Scratch Using C#,TRUE,50,417,65,109,All Levels
244,Start Web Development with GIS Map in JavaScript,TRUE,60,1599,26,49,All Levels
245,Learn to Build Websites using Twitter Bootstrap,FALSE,0,15134,523,12,All Levels
